Date,Sales,Quantity_Sold,Cost_of_Sales,Price_Per_Unit,Gross_Profit,Gross_Profit_Percent,GP_Per_Unit,Day_Of_Week,Month,Year,Promo_Flag,Seasonality_Group
2013-12-30,223938,6827,230080,32.80,-6141.65,-2.74,-0.90,2,12,2013,Normal,Peak Season
2013-12-31,300345,9268,306986,32.41,-6640.64,-2.21,-0.72,3,12,2013,Normal,Peak Season
2014-01-01,86782,2678,87986,32.41,-1203.85,-1.39,-0.45,4,1,2014,Normal,Peak Season
2014-01-02,200173,6175,202881,32.42,-2708.06,-1.35,-0.44,5,1,2014,Normal,Peak Season
2014-01-03,326906,10084,333806,32.42,-6900.22,-2.11,-0.68,6,1,2014,Normal,Peak Season
2014-01-04,307044,9470,313652,32.42,-6608.41,-2.15,-0.70,7,1,2014,Normal,Peak Season
2014-01-05,179189,5524,183083,32.44,-3894.40,-2.17,-0.70,1,1,2014,Normal,Peak Season
2014-01-06,306352,9448,313446,32.43,-7094.12,-2.32,-0.75,2,1,2014,Normal,Peak Season
2014-01-07,224020,6911,229534,32.42,-5513.56,-2.46,-0.80,3,1,2014,Normal,Peak Season
2014-01-08,101836,2990,99382,34.06,2454.43,2.41,0.82,4,1,2014,Normal,Peak Season
2014-01-09,107804,3159,104816,34.13,2987.85,2.77,0.95,5,1,2014,Normal,Peak Season
2014-01-10,144830,4246,141334,34.11,3495.96,2.41,0.82,6,1,2014,Normal,Peak Season
2014-01-11,146571,4297,143180,34.11,3391.81,2.31,0.79,7,1,2014,Normal,Peak Season
2014-01-12,95422,2796,93126,34.13,2296.23,2.41,0.82,1,1,2014,Normal,Peak Season
2014-01-13,114883,3369,112186,34.10,2696.87,2.35,0.80,2,1,2014,Normal,Peak Season
2014-01-14,80091,2348,78097,34.11,1994.04,2.49,0.85,3,1,2014,Normal,Peak Season
2014-01-15,98945,2903,97159,34.08,1786.37,1.81,0.62,4,1,2014,Normal,Peak Season
2014-01-16,84905,2491,83350,34.08,1554.47,1.83,0.62,5,1,2014,Normal,Peak Season
2014-01-17,135461,3968,132703,34.14,2757.28,2.04,0.69,6,1,2014,Normal,Peak Season
2014-01-18,149926,4393,146928,34.13,2997.34,2.00,0.68,7,1,2014,Normal,Peak Season
2014-01-19,74297,2176,72782,34.14,1515.02,2.04,0.70,1,1,2014,Normal,Peak Season
2014-01-20,83356,2443,81789,34.12,1567.29,1.88,0.64,2,1,2014,Normal,Peak Season
2014-01-21,89922,2638,88389,34.09,1533.10,1.70,0.58,3,1,2014,Normal,Peak Season
2014-01-22,57806,1704,57157,33.92,649.02,1.12,0.38,4,1,2014,Normal,Peak Season
2014-01-23,63978,1872,62864,34.18,1113.76,1.74,0.59,5,1,2014,Normal,Peak Season
2014-01-24,116959,3423,114824,34.17,2135.00,1.83,0.62,6,1,2014,Normal,Peak Season
2014-01-25,155273,4544,152636,34.17,2636.55,1.70,0.58,7,1,2014,Normal,Peak Season
2014-01-26,82885,2426,81583,34.17,1302.05,1.57,0.54,1,1,2014,Normal,Peak Season
2014-01-27,72353,2117,71377,34.18,976.27,1.35,0.46,2,1,2014,Normal,Peak Season
2014-01-28,50416,1476,49769,34.16,646.81,1.28,0.44,3,1,2014,Normal,Peak Season
2014-01-29,67458,1974,66529,34.17,928.86,1.38,0.47,4,1,2014,Normal,Peak Season
2014-01-30,64640,1892,63758,34.17,882.53,1.37,0.47,5,1,2014,Normal,Peak Season
2014-01-31,137694,4030,135610,34.17,2084.37,1.51,0.52,6,1,2014,Normal,Peak Season
2014-02-01,181209,5304,178436,34.16,2773.41,1.53,0.52,7,2,2014,Normal,Mid Season
2014-02-02,113434,3320,111467,34.17,1967.06,1.73,0.59,1,2,2014,Normal,Mid Season
2014-02-03,143193,4191,140506,34.17,2686.90,1.88,0.64,2,2,2014,Normal,Mid Season
2014-02-04,130127,3809,128496,34.16,1630.36,1.25,0.43,3,2,2014,Normal,Mid Season
2014-02-05,187156,5764,195079,32.47,-7922.73,-4.23,-1.37,4,2,2014,Normal,Mid Season
2014-02-06,102315,3028,101978,33.79,336.72,0.33,0.11,5,2,2014,Normal,Mid Season
2014-02-07,301554,9284,313529,32.48,-11975.35,-3.97,-1.29,6,2,2014,Normal,Mid Season
2014-02-08,316073,9737,329755,32.46,-13681.60,-4.33,-1.41,7,2,2014,Normal,Mid Season
2014-02-09,135178,4163,141531,32.47,-6352.67,-4.70,-1.53,1,2,2014,Normal,Mid Season
2014-02-10,147728,4552,154829,32.45,-7101.17,-4.81,-1.56,2,2,2014,Normal,Mid Season
2014-02-11,135499,4172,139824,32.48,-4325.42,-3.19,-1.04,3,2,2014,Normal,Mid Season
2014-02-12,163433,5037,166893,32.45,-3460.52,-2.12,-0.69,4,2,2014,Normal,Mid Season
2014-02-13,138292,4259,141027,32.47,-2735.80,-1.98,-0.64,5,2,2014,Normal,Mid Season
2014-02-14,336901,10381,343520,32.45,-6618.50,-1.96,-0.64,6,2,2014,Normal,Mid Season
2014-02-15,367729,11332,373974,32.45,-6244.33,-1.70,-0.55,7,2,2014,Normal,Mid Season
2014-02-16,133914,4127,136797,32.45,-2883.24,-2.15,-0.70,1,2,2014,Normal,Mid Season
2014-02-17,150800,4649,152887,32.44,-2086.76,-1.38,-0.45,2,2,2014,Normal,Mid Season
2014-02-18,55592,1627,53463,34.17,2128.69,3.83,1.31,3,2,2014,Normal,Mid Season
2014-02-19,106427,3281,107736,32.44,-1309.25,-1.23,-0.40,4,2,2014,Normal,Mid Season
2014-02-20,78941,2310,75934,34.17,3006.16,3.81,1.30,5,2,2014,Normal,Mid Season
2014-02-21,317916,9802,322090,32.43,-4173.47,-1.31,-0.43,6,2,2014,Normal,Mid Season
2014-02-22,309218,9772,320117,31.64,-10899.05,-3.52,-1.12,7,2,2014,Normal,Mid Season
2014-02-23,138492,4270,140753,32.43,-2261.05,-1.63,-0.53,1,2,2014,Normal,Mid Season
2014-02-24,133146,4106,134505,32.43,-1359.18,-1.02,-0.33,2,2,2014,Normal,Mid Season
2014-02-25,224995,6937,227546,32.43,-2551.79,-1.13,-0.37,3,2,2014,Normal,Mid Season
2014-02-26,225052,6934,228214,32.46,-3162.55,-1.41,-0.46,4,2,2014,Normal,Mid Season
2014-02-27,344300,11082,365936,31.07,-21635.97,-6.28,-1.95,5,2,2014,Promotion,Mid Season
2014-02-28,661876,20805,686657,31.81,-24780.29,-3.74,-1.19,6,2,2014,Normal,Mid Season
2014-03-01,846678,26410,872082,32.06,-25403.20,-3.00,-0.96,7,3,2014,Normal,Mid Season
2014-03-02,478902,15004,495554,31.92,-16652.15,-3.48,-1.11,1,3,2014,Normal,Mid Season
2014-03-03,538827,16884,557567,31.91,-18739.93,-3.48,-1.11,2,3,2014,Normal,Mid Season
2014-03-04,310346,9789,323325,31.70,-12978.91,-4.18,-1.33,3,3,2014,Normal,Mid Season
2014-03-05,256391,8079,267309,31.74,-10917.98,-4.26,-1.35,4,3,2014,Normal,Mid Season
2014-03-06,167804,5072,168136,33.08,-332.03,-0.20,-0.07,5,3,2014,Normal,Mid Season
2014-03-07,465318,14551,483775,31.98,-18456.58,-3.97,-1.27,6,3,2014,Normal,Mid Season
2014-03-08,520147,16262,541499,31.99,-21352.21,-4.11,-1.31,7,3,2014,Normal,Mid Season
2014-03-09,224699,7014,233590,32.04,-8890.73,-3.96,-1.27,1,3,2014,Normal,Mid Season
2014-03-10,286231,8932,297643,32.05,-11412.21,-3.99,-1.28,2,3,2014,Normal,Mid Season
2014-03-11,187143,5737,191499,32.62,-4356.02,-2.33,-0.76,3,3,2014,Normal,Mid Season
2014-03-12,191700,5903,197153,32.48,-5453.03,-2.84,-0.92,4,3,2014,Normal,Mid Season
2014-03-13,164664,5056,168975,32.57,-4311.21,-2.62,-0.85,5,3,2014,Normal,Mid Season
2014-03-14,395941,12167,406766,32.54,-10824.57,-2.73,-0.89,6,3,2014,Normal,Mid Season
2014-03-15,518183,15971,534383,32.45,-16199.93,-3.13,-1.01,7,3,2014,Normal,Mid Season
2014-03-16,226618,6968,233191,32.52,-6573.15,-2.90,-0.94,1,3,2014,Normal,Mid Season
2014-03-17,243708,7494,250794,32.52,-7086.35,-2.91,-0.95,2,3,2014,Normal,Mid Season
2014-03-18,94850,2707,90572,35.04,4278.15,4.51,1.58,3,3,2014,Normal,Mid Season
2014-03-19,92387,2637,88256,35.03,4130.94,4.47,1.57,4,3,2014,Normal,Mid Season
2014-03-20,180395,5149,172344,35.03,8050.52,4.46,1.56,5,3,2014,Normal,Mid Season
2014-03-21,200940,5735,192019,35.04,8920.55,4.44,1.56,6,3,2014,Normal,Mid Season
2014-03-22,172954,4936,165201,35.04,7752.62,4.48,1.57,7,3,2014,Normal,Mid Season
2014-03-23,70195,2003,67062,35.04,3133.18,4.46,1.56,1,3,2014,Normal,Mid Season
2014-03-24,81378,2323,77704,35.03,3674.57,4.52,1.58,2,3,2014,Normal,Mid Season
2014-03-25,130227,3822,127394,34.07,2832.73,2.18,0.74,3,3,2014,Normal,Mid Season
2014-03-26,125310,3666,122275,34.18,3034.93,2.42,0.83,4,3,2014,Normal,Mid Season
2014-03-27,119452,3543,118187,33.72,1265.76,1.06,0.36,5,3,2014,Normal,Mid Season
2014-03-28,276175,8130,271551,33.97,4623.87,1.67,0.57,6,3,2014,Normal,Mid Season
2014-03-29,357369,10518,352251,33.98,5118.44,1.43,0.49,7,3,2014,Normal,Mid Season
2014-03-30,163865,4791,160525,34.20,3340.06,2.04,0.70,1,3,2014,Normal,Mid Season
2014-03-31,190720,5583,187073,34.16,3647.02,1.91,0.65,2,3,2014,Normal,Mid Season
2014-04-01,244535,7155,239701,34.18,4834.52,1.98,0.68,3,4,2014,Normal,Mid Season
2014-04-02,155621,4575,153366,34.02,2254.48,1.45,0.49,4,4,2014,Normal,Mid Season
2014-04-03,136002,3997,134523,34.03,1478.91,1.09,0.37,5,4,2014,Normal,Mid Season
2014-04-04,190560,5558,187742,34.29,2817.59,1.48,0.51,6,4,2014,Normal,Mid Season
2014-04-05,217111,6320,213541,34.35,3569.77,1.64,0.56,7,4,2014,Normal,Mid Season
2014-04-06,119190,3447,116856,34.58,2333.79,1.96,0.68,1,4,2014,Normal,Mid Season
2014-04-07,131910,3854,130784,34.23,1125.75,0.85,0.29,2,4,2014,Normal,Mid Season
2014-04-08,118921,3394,115306,35.04,3615.50,3.04,1.07,3,4,2014,Normal,Mid Season
2014-04-09,124828,3563,121265,35.03,3563.58,2.85,1.00,4,4,2014,Normal,Mid Season
2014-04-10,179326,5380,183279,33.33,-3952.01,-2.20,-0.73,5,4,2014,Normal,Mid Season
2014-04-11,318950,9573,326323,33.32,-7372.71,-2.31,-0.77,6,4,2014,Normal,Mid Season
2014-04-12,375031,11250,383727,33.34,-8696.08,-2.32,-0.77,7,4,2014,Normal,Mid Season
2014-04-13,166394,4990,170062,33.35,-3668.32,-2.20,-0.74,1,4,2014,Normal,Mid Season
2014-04-14,193652,5810,198212,33.33,-4559.74,-2.35,-0.78,2,4,2014,Normal,Mid Season
2014-04-15,249806,7497,255957,33.32,-6151.14,-2.46,-0.82,3,4,2014,Normal,Mid Season
2014-04-16,294023,8821,301522,33.33,-7498.94,-2.55,-0.85,4,4,2014,Normal,Mid Season
2014-04-17,612236,18366,627928,33.34,-15691.75,-2.56,-0.85,5,4,2014,Normal,Mid Season
2014-04-18,464816,13940,476693,33.34,-11877.03,-2.56,-0.85,6,4,2014,Normal,Mid Season
2014-04-19,360481,10814,369766,33.33,-9284.67,-2.58,-0.86,7,4,2014,Normal,Mid Season
2014-04-20,114280,3429,117191,33.33,-2911.25,-2.55,-0.85,1,4,2014,Normal,Mid Season
2014-04-21,161171,4834,165415,33.34,-4244.26,-2.63,-0.88,2,4,2014,Normal,Mid Season
2014-04-22,182483,5475,187345,33.33,-4861.59,-2.66,-0.89,3,4,2014,Normal,Mid Season
2014-04-23,109358,3121,106850,35.04,2508.51,2.29,0.80,4,4,2014,Normal,Mid Season
2014-04-24,98430,2809,96197,35.04,2232.63,2.27,0.79,5,4,2014,Normal,Mid Season
2014-04-25,295741,8537,292327,34.64,3414.32,1.15,0.40,6,4,2014,Normal,Mid Season
2014-04-26,285054,8209,281160,34.72,3894.40,1.37,0.47,7,4,2014,Normal,Mid Season
2014-04-27,124965,3592,123042,34.79,1922.64,1.54,0.54,1,4,2014,Normal,Mid Season
2014-04-28,124176,3576,122516,34.72,1659.74,1.34,0.46,2,4,2014,Normal,Mid Season
2014-04-29,131843,3807,130405,34.63,1437.31,1.09,0.38,3,4,2014,Normal,Mid Season
2014-04-30,154850,4398,150644,35.21,4205.71,2.72,0.96,4,4,2014,Normal,Mid Season
2014-05-01,180294,5124,175657,35.19,4637.62,2.57,0.91,5,5,2014,Normal,Mid Season
2014-05-02,163849,4581,157301,35.77,6548.41,4.00,1.43,6,5,2014,Normal,Mid Season
2014-05-03,131437,3697,127602,35.55,3834.85,2.92,1.04,7,5,2014,Normal,Mid Season
2014-05-04,93082,2642,91602,35.23,1480.54,1.59,0.56,1,5,2014,Normal,Mid Season
2014-05-05,110887,3154,109460,35.16,1426.86,1.29,0.45,2,5,2014,Normal,Mid Season
2014-05-06,119386,3324,115693,35.92,3692.47,3.09,1.11,3,5,2014,Normal,Mid Season
2014-05-07,91720,2677,93157,34.26,-1437.58,-1.57,-0.54,4,5,2014,Normal,Mid Season
2014-05-08,96335,2683,93696,35.91,2639.23,2.74,0.98,5,5,2014,Normal,Mid Season
2014-05-09,303226,9328,325837,32.51,-22610.64,-7.46,-2.42,6,5,2014,Normal,Mid Season
2014-05-10,431696,13306,465254,32.44,-33558.11,-7.77,-2.52,7,5,2014,Normal,Mid Season
2014-05-11,200407,6173,215908,32.47,-15500.55,-7.73,-2.51,1,5,2014,Normal,Mid Season
2014-05-12,183414,5653,197835,32.45,-14421.79,-7.86,-2.55,2,5,2014,Normal,Mid Season
2014-05-13,146167,4503,157693,32.46,-11526.59,-7.89,-2.56,3,5,2014,Normal,Mid Season
2014-05-14,201121,6253,218099,32.16,-16978.03,-8.44,-2.72,4,5,2014,Normal,Mid Season
2014-05-15,270124,8408,289865,32.13,-19741.25,-7.31,-2.35,5,5,2014,Normal,Mid Season
2014-05-16,415315,12949,441791,32.07,-26475.38,-6.37,-2.04,6,5,2014,Normal,Mid Season
2014-05-17,498717,15508,526707,32.16,-27990.38,-5.61,-1.80,7,5,2014,Normal,Mid Season
2014-05-18,166433,5141,174377,32.37,-7943.46,-4.77,-1.55,1,5,2014,Normal,Mid Season
2014-05-19,168521,5194,175540,32.45,-7019.49,-4.17,-1.35,2,5,2014,Normal,Mid Season
2014-05-20,178124,5550,187748,32.09,-9624.64,-5.40,-1.73,3,5,2014,Normal,Mid Season
2014-05-21,194879,6070,204461,32.11,-9581.86,-4.92,-1.58,4,5,2014,Normal,Mid Season
2014-05-22,115475,3421,115011,33.75,463.77,0.40,0.14,5,5,2014,Normal,Mid Season
2014-05-23,430521,13384,449274,32.17,-18753.16,-4.36,-1.40,6,5,2014,Normal,Mid Season
2014-05-24,590643,18356,614246,32.18,-23602.97,-4.00,-1.29,7,5,2014,Normal,Mid Season
2014-05-25,210765,6500,217364,32.43,-6599.75,-3.13,-1.02,1,5,2014,Normal,Mid Season
2014-05-26,218189,6752,225608,32.31,-7418.25,-3.40,-1.10,2,5,2014,Normal,Mid Season
2014-05-27,226132,7023,234497,32.20,-8364.05,-3.70,-1.19,3,5,2014,Normal,Mid Season
2014-05-28,243721,7579,252929,32.16,-9208.43,-3.78,-1.21,4,5,2014,Normal,Mid Season
